bodyPart,equipment,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
back,cable,0220_cable_shrug,cable shrug,traps,shoulders,,Stand facing the cable machine with your feet shoulder-width apart.,Grasp the cable handles with an overhand grip and let your arms hang down in front of you.,"Keeping your arms straight, shrug your shoulders up towards your ears.","Hold the contraction for a moment, then slowly lower your shoulders back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
waist,cable,0222_cable_side_bend,cable side bend,abs,obliques,,Stand with your feet shoulder-width apart and grasp the cable handle with one hand.,Keep your back straight and your core engaged.,"Slowly bend sideways at the waist, lowering the cable handle towards your knee.","Pause for a moment, then return to the starting position.",Repeat on the other side.,Alternate sides for the desired number of repetitions.,,,,,,,,,
waist,cable,0221_cable_side_bend_crunch_bosu_ball,cable side bend crunch (bosu ball),abs,obliques,,"Stand with your feet shoulder-width apart, holding a cable handle in one hand.",Place the other hand on your hip.,"Engage your core and slowly bend sideways towards the hand holding the cable, keeping your back straight.","Pause for a moment at the bottom of the movement, then slowly return to the starting position.","Repeat for the desired number of repetitions, then switch sides.",,,,,,,,,,
waist,cable,0223_cable_side_crunch,cable side crunch,abs,obliques,,Attach a cable handle to a low pulley and stand sideways to the machine.,Grasp the handle with the hand furthest from the machine and place your other hand on your hip.,Keep your feet shoulder-width apart and your knees slightly bent.,"With your abs engaged, bend sideways at the waist, bringing your elbow down towards your hip.","Pause for a moment at the bottom, then slowly return to the starting position.","Repeat for the desired number of repetitions, then switch sides.",,,,,,,,,
back,cable,1717_cable_squat_row_with_rope_attachment,cable squat row (with rope attachment),lats,biceps,rhomboids,Attach a rope to a cable machine at waist height.,Stand facing the cable machine with your feet shoulder-width apart.,"Bend your knees and lower your body into a squat position, keeping your back straight and chest up.","Grasp the rope with an overhand grip, with your hands shoulder-width apart.","Engage your core and pull the rope towards your body, squeezing your shoulder blades together.",Keep your elbows close to your body and continue pulling until your hands reach your chest.,rear deltoids,"Pause for a moment at the top of the movement, then slowly release the rope and extend your arms back to the starting position.",Repeat for the desired number of repetitions.,,,,,,
upper arms,cable,1644_cable_squatting_curl,cable squatting curl,biceps,forearms,,Attach a cable handle to the lowest setting on a cable machine.,Stand facing the machine with your feet shoulder-width apart.,"Hold the cable handle with an underhand grip, palms facing up, and arms fully extended.","Lower your body into a squat position, keeping your back straight and knees behind your toes.","As you squat down, curl the cable handle towards your shoulders, keeping your elbows close to your sides.","Pause for a moment at the top of the curl, squeezing your biceps.",,"Slowly lower the cable handle back to the starting position, fully extending your arms.",Repeat for the desired number of repetitions.,,,,,,
lower arms,cable,0224_cable_standing_back_wrist_curl,cable standing back wrist curl,forearms,biceps,brachialis,Stand facing a cable machine with your feet shoulder-width apart.,"Hold the cable handle with an overhand grip, palms facing down.",Keep your arms straight and your elbows close to your sides.,"Slowly curl your wrists upward, bringing the cable handle towards your body.","Pause for a moment at the top, then slowly lower the cable handle back to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
lower legs,cable,1375_cable_standing_calf_raise,cable standing calf raise,calves,hamstrings,glutes,Stand facing a cable machine with your feet shoulder-width apart.,Hold onto the cable machine handles or attach a cable ankle strap to your ankles.,Raise your heels off the ground by extending your ankles as high as possible.,"Pause for a moment at the top, then slowly lower your heels back down to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,,
shoulders,cable,0225_cable_standing_cross_over_high_reverse_fly,cable standing cross-over high reverse fly,delts,trapezius,rhomboids,Attach a D-handle to each side of a cable machine at shoulder height.,Stand in the middle of the cable machine with your feet shoulder-width apart.,"Grasp the handles with an overhand grip and extend your arms out to the sides, palms facing forward.",Keep a slight bend in your elbows and maintain a straight back throughout the exercise.,Engage your shoulder muscles and squeeze your shoulder blades together as you pull the handles towards the front of your body.,"Pause for a moment at the peak of the movement, then slowly return to the starting position.",rear deltoids,Repeat for the desired number of repetitions.,,,,,,,
waist,cable,0226_cable_standing_crunch,cable standing crunch,abs,obliques,,Attach a cable handle to a high pulley and stand facing away from the machine.,"Hold the handle with both hands and place it behind your head, keeping your elbows bent.",Stand with your feet shoulder-width apart and your knees slightly bent.,"Keeping your abs engaged, exhale and crunch your torso down towards your knees, bringing your elbows towards your thighs.","Pause for a moment at the bottom of the movement, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
waist,cable,0874_cable_standing_crunch_with_rope_attachment,cable standing crunch (with rope attachment),abs,obliques,,Attach a rope to a cable machine at chest height.,Stand facing away from the machine with your feet shoulder-width apart.,"Hold the rope with both hands and bring it behind your head, keeping your elbows bent.","Engage your abs and slowly crunch your torso forward, bringing your elbows towards your knees.","Pause for a moment at the top of the crunch, then slowly return to the starting position.",Repeat for the desired number of repetitions.,,,,,,,,,
chest,cable,0227_cable_standing_fly,cable standing fly,pectorals,deltoids,triceps,Attach the handles to the cables at chest height.,"Stand with your feet shoulder-width apart, facing away from the cable machine.","Grasp the handles with an overhand grip, palms facing forward.",Step forward slightly to create tension in the cables.,Keep your core engaged and your back straight throughout the exercise.,"With a slight bend in your elbows, slowly bring your arms forward and together in front of your chest.",,Squeeze your chest muscles at the peak of the movement.,"Slowly reverse the movement, returning your arms to the starting position.",,Repeat for the desired number of repetitions.,,,,
upper legs,cable,0228_cable_standing_hip_extension,cable standing hip extension,glutes,hamstrings,quadriceps,Attach a cable to a low pulley and stand facing away from the machine.,Place the cable around your ankle and stand with your feet shoulder-width apart.,Keep your core engaged and your back straight throughout the exercise.,"Slowly extend your leg straight back, squeezing your glutes at the top of the movement.","Pause for a moment, then return to the starting position.",Repeat for the desired number of repetitions.,,Switch sides and repeat with the other leg.,,,,,,,
